word,positive-emotion,negative-emotion,neutral-emotion,ambiguous-emotion,r
deplorably,1.46713030366,1.47816736157,1.43133885755,1.53399967866,1.15515481956
defeatism,1.38172568214,1.12587451858,1.2939919245,1.32679183739,4.11167352369
grievous,1.35647484302,1.15261613781,1.43478635667,1.32193405487,13.5981962656
persecute,1.4037747493,1.28379176819,1.47596623354,1.47003737509,9.23684541275
embarrassed,1.06231376918,0.856883359245,1.18791397586,0.97260702903,21.5363189647
hesitance,1.33363078826,1.22266114995,1.29487099139,1.31570235662,2.18213827633
separate,1.68241352049,1.67599287305,1.49366660425,1.79108784669,34.153721849
unhappy,1.11389212502,1.02395362152,1.18404518302,1.21577916202,30.1194557397
worryingly,1.48123576667,1.38984711658,1.4518768726,1.48234844944,1.76437261422
trepidation,1.2844323651,1.24971671293,1.30875510645,1.17709301532,4.88142716367
sheepish,1.50835499114,1.56686394875,1.56601383415,1.54969354561,1.92186546911
belligerently,1.31466560913,1.2664575525,1.4416645428,1.32764630052,1.45972334554
frustration,1.1957474058,0.961582857479,1.14241808303,1.17479582851,28.0015784663
heartbreaking,1.19936577194,1.16940242404,1.34097189349,1.069000427,7.45439245289
ingratitude,1.12358308991,0.940854825741,1.19544212988,1.18356399794,5.29305211537
woe,1.11823536453,1.07269942101,1.39274610127,1.16103069945,12.8598448743
fit,1.35708460494,1.43895601305,1.4443773351,1.45975387914,32.8966055788
forgiveness,1.18979985172,1.17916648236,1.32508681381,1.39107671833,28.7111140617
brokenhearted,1.35916614919,1.33967200701,1.47629963218,1.33797462565,3.30819507837
shame,1.17091742162,0.9472831913,1.27296149293,1.19809125117,25.2406058419
desirous,1.12322381147,1.21647266034,1.32202295447,1.28561947732,7.61074520233
compunction,1.3284859605,1.17746263397,1.37288187703,1.31345426676,2.86546035099
demoralized,1.3425433703,1.09828510472,1.28879519641,1.2109662136,11.5794306116
oppression,1.38195817234,1.1582143183,1.32137616168,1.45059843441,29.6305041224
tenderness,0.968426507998,1.09606641932,1.17797056103,1.07174557701,15.384192529
sorrow,1.06346266343,1.03439525293,1.2900467711,1.13736016685,26.9102889641
anxiously,1.27970300249,1.27955177673,1.39737561184,1.24841883531,5.67991413603
cruelty,1.33045795941,1.11600500589,1.3364628134,1.36283204164,31.5797809596
animosity,1.3021792262,1.13898264064,1.19363977007,1.39792703689,26.3669401529
bearish,1.3391773421,1.3666726019,1.330365801,1.37494550938,3.34726059912
maleficent,1.38201717322,1.31555885213,1.58366509895,1.36660482129,10.5222904341
unwholesome,1.24119219956,1.15851963598,1.25804363324,1.34072592499,3.73104170707
disheartened,1.21416667631,1.00839478011,1.23987560209,1.14520839005,6.8097985017
suffering,1.3809756891,1.10919960699,1.18150226552,1.34151391515,35.1988730204
disgustingly,1.3857296619,1.36408255933,1.47276024956,1.34663646423,1.64870474388
sad,1.07664992416,1.06878061496,1.29061776579,1.06422504525,27.0307264379
confusion,1.5112033441,1.34112597558,1.41073971192,1.47369346731,39.7818669151
nurturant,1.32876342115,1.42030290421,1.37174874748,1.52445293796,2.5781287775
tired,1.1536747578,1.00144377305,1.21884561381,1.16207153163,28.8690698498
defeated,1.60556382975,1.43756891653,1.60948577044,1.46942215102,44.9149709164
sorrowing,1.33013338752,1.3007494721,1.46907240343,1.39116539937,2.25590411594
bad,1.25934306996,1.13038539615,1.36411680174,1.29843566266,34.9952397035
mournfully,1.26430542504,1.20374342934,1.33045525395,1.27830303415,1.84187587031
bereft,1.25683868087,1.20671166607,1.24638868672,1.32274228398,7.05162488603
tenderhearted,1.45348614686,1.44233789865,1.44859353928,1.51810249969,1.15156834795
malevolence,1.16086940562,1.02877065802,1.23260544881,1.19069819967,5.72077178581
sadden,1.34850047882,1.34781357097,1.47495721422,1.36044526901,1.51989991665
displease,1.24994868479,1.27769216526,1.38502821612,1.32957106312,3.07445709825
impatient,1.03027074731,0.900986417513,1.08878808047,1.07819868941,16.3125217569
choleric,1.18797496298,1.17103879712,1.24769550774,1.28514345148,5.92398334897
unnerved,1.21214111828,0.990655491559,1.25623456694,1.02770480548,5.50127691647
belligerence,1.34168730178,1.24118641794,1.25611138039,1.46026125035,5.26600194046
irritated,1.0774481162,0.8950831002,1.14740247387,1.01683002937,17.344270341
pessimistically,1.50428398335,1.47633167465,1.51679037499,1.49558926912,1.21399353055
aggressive,1.19874036899,1.12576308762,1.18650616717,1.3166890367,33.1195689584
maddened,1.27827999376,1.1279334675,1.3756664243,1.20366771901,3.0368407162
intimidate,1.46758703962,1.23606246043,1.40953200591,1.44558868382,21.5301533282
nauseating,1.1826939122,1.02046227305,1.28166563249,1.10648417253,4.09118318231
misogyny,1.32225742141,1.09890077402,1.24816258476,1.36481137669,13.2854679096
sorrowfully,1.32527426765,1.24985851515,1.48158346563,1.28660973531,2.46807053556
cheerless,1.38477339001,1.28683871816,1.356380252,1.35218055702,1.8036370759
depress,1.4319318346,1.41929844565,1.41018450407,1.45739128218,8.42317217315
cruelly,1.22426197192,0.961037818862,1.29229943633,1.18276348413,9.06928211191
unsmiling,1.37630000895,1.40543936464,1.40346134139,1.41937275041,1.85890230356
miserable,1.08434603291,0.968062641232,1.20716310685,1.14042684565,20.5271214622
horror,1.45097106943,1.32273867057,1.52865855859,1.31992849003,34.014972153
oppressively,1.3340727279,1.24740205197,1.30877550911,1.41052162705,2.80285903212
apprehension,1.1671955484,1.03998605046,1.08673035228,1.21166744646,14.2699113318
humiliated,1.20574747008,0.882378179306,1.26640066032,1.11555824874,19.463823041
anger,1.18044291447,0.912469030525,1.19437941797,1.20526723858,31.1939442436
grieving,1.26519438767,1.11444856999,1.41758407309,1.3361553179,13.6838612964
maleficence,1.5236716948,1.49162145869,1.43236734639,1.5839417748,3.16608607869
hopeless,1.14907478014,0.934096389349,1.18080423698,1.1168265771,18.8271357695
upset,1.22051787147,0.99893461887,1.28860319733,1.09539462823,29.3810211548
miserably,1.43185553434,1.30589657626,1.48903106673,1.37178099858,9.42978212673
afraid,1.11266858436,0.982651238272,1.28520978243,1.09573435766,31.9342741765
wrathful,1.27870431657,1.20994083922,1.37663725472,1.3289857349,8.33921280086
forlornly,1.45845251378,1.52396708776,1.58994154418,1.43325354176,1.16279985755
disliked,1.17857837478,1.09144263768,1.23527797537,1.24262251874,31.3608008481
chilling,1.16799667265,1.0785702736,1.31349477604,1.1343035381,13.0943552239
solicitously,1.42547407506,1.37025734838,1.38619239552,1.44666544381,1.29323200481
inhumane,1.39020626835,1.10919728608,1.26355821172,1.41390055932,14.8487362899
sadly,1.12289052696,1.0938955965,1.28924601894,1.06087818568,12.9293477541
dudgeon,1.60136016112,1.54262769689,1.58298203238,1.55662953335,5.5324158616
alienation,1.24230259942,1.05021804131,1.10973878644,1.38297640469,24.0572866045
frowning,1.2778057827,1.32278818806,1.36687215513,1.34854494949,3.16414229815
downtrodden,1.19394039765,1.16545780133,1.3009486301,1.3472781109,7.79941571894
bittersweet,1.1163478784,1.22471878803,1.40374311811,1.13731402386,10.1447774391
detestable,1.26573644407,1.14554156419,1.331358343,1.32344958589,4.93681695
dysphoric,1.51129618012,1.46522054815,1.43872164832,1.63538023271,3.36460176576
forgive,1.16928276353,1.10520444284,1.36157465195,1.25627244604,25.261975182
tender,1.40500817551,1.43912064235,1.43508925914,1.50880955952,28.1633442453
impatiently,1.33277005553,1.31582938787,1.43919133794,1.30135142085,3.92033585978
painfully,1.16142592682,0.985107277198,1.09061952889,1.03823614066,10.8912764905
brood,1.57078226764,1.51114820332,1.6005738219,1.59693584382,26.879744694
tenderly,1.09330401577,1.13712783198,1.33375882107,1.15182867466,5.98383303717
malevolent,1.30302309665,1.10150449073,1.32783816574,1.22860113761,19.097247401
indisposed,1.43044234111,1.391807811,1.38536741401,1.41830110857,3.3372039578
misanthropy,1.22987489568,1.07571236031,1.22363809434,1.32715600223,5.24306927601
sentimental,1.00754274498,1.07980342285,1.15108124478,1.16605214529,24.187151532
rueful,1.17433001969,1.16879104958,1.36217691879,1.16698847366,2.32459381134
